VWL(V),VBL(V),Current(uA),Mode,WL,BL,VSL(V),DeviceID
1.8,4,0.5524293744506836,SET_SWEEP,121,8,0,121_8
1.8,4.5,0.5567018353881837,SET_SWEEP,121,8,0,121_8
1.9,3,0.5133668744506836,SET_SWEEP,121,8,0,121_8
1.9,3.5,0.6174318158569336,SET_SWEEP,121,8,0,121_8
1.9,4,0.4904786908569336,SET_SWEEP,121,8,0,121_8
1.9,4.5,0.5524293744506836,SET_SWEEP,121,8,0,121_8
2,3,0.1587526166381836,SET_SWEEP,121,8,0,121_8
2,3.5,0.09252947210693359,SET_SWEEP,121,8,0,121_8
2,4,0.07086199163818359,SET_SWEEP,121,8,0,121_8
2,4.5,0.09252947210693359,SET_SWEEP,121,8,0,121_8
2.1,3,2.5284425580444334,SET_SWEEP,121,8,0,121_8
2.1,3.5,2.6825563275756834,SET_SWEEP,121,8,0,121_8
2.1,4,2.7796022260131834,SET_SWEEP,121,8,0,121_8
2.1,4.5,2.4417726361694334,SET_SWEEP,121,8,0,121_8
2.2,3,3.1281129682006834,SET_SWEEP,121,8,0,121_8
2.2,3.5,3.306640800231934,SET_SWEEP,121,8,0,121_8
2.2,4,3.3890382611694334,SET_SWEEP,121,8,0,121_8
2.2,4.5,3.479065116638184,SET_SWEEP,121,8,0,121_8
2.3,3,3.6832277142944334,SET_SWEEP,121,8,0,121_8
2.3,3.5,3.769897636169434,SET_SWEEP,121,8,0,121_8
2.3,4,3.782715018981934,SET_SWEEP,121,8,0,121_8
2.3,4.5,3.9087526166381834,SET_SWEEP,121,8,0,121_8
2.4,3,4.123901542419434,SET_SWEEP,121,8,0,121_8
2.4,3.5,3.8922731244506834,SET_SWEEP,121,8,0,121_8
2.4,4,4.377197440856934,SET_SWEEP,121,8,0,121_8
2.4,4.5,4.426635917419434,SET_SWEEP,121,8,0,121_8
1.6,3,4.501098808044435,SET_SWEEP,121,8,0,121_8
1.6,3.5,4.510254081481934,SET_SWEEP,121,8,0,121_8
1.6,4,4.530395683044434,SET_SWEEP,121,8,0,121_8
1.6,4.5,4.598144706481934,SET_SWEEP,121,8,0,121_8
1.7,3,4.564880546325684,SET_SWEEP,121,8,0,121_8
1.7,3.5,4.578918632263185,SET_SWEEP,121,8,0,121_8
1.7,4,4.675049003356934,SET_SWEEP,121,8,0,121_8
1.7,4.5,4.558166679138184,SET_SWEEP,121,8,0,121_8
1.8,3,4.624084647888184,SET_SWEEP,121,8,0,121_8
1.8,3.5,4.593261893981934,SET_SWEEP,121,8,0,121_8
1.8,4,4.573730643981934,SET_SWEEP,121,8,0,121_8
1.8,4.5,4.657959159606934,SET_SWEEP,121,8,0,121_8
1.9,3,4.563049491638184,SET_SWEEP,121,8,0,121_8
1.9,3.5,4.594787772888184,SET_SWEEP,121,8,0,121_8
1.9,4,4.549316581481935,SET_SWEEP,121,8,0,121_8
1.9,4.5,4.580749686950685,SET_SWEEP,121,8,0,121_8
2,3,4.556640800231934,SET_SWEEP,121,8,0,121_8
2,3.5,4.529785331481935,SET_SWEEP,121,8,0,121_8
2,4,4.573730643981934,SET_SWEEP,121,8,0,121_8
2,4.5,4.603943046325684,SET_SWEEP,121,8,0,121_8
2.1,3,4.492859061950684,SET_SWEEP,121,8,0,121_8
2.1,3.5,4.549011405700684,SET_SWEEP,121,8,0,121_8
2.1,4,4.577087577575684,SET_SWEEP,121,8,0,121_8
