WL,BL,Current(uA),Mode,VWL(V),VBL(V),VSL(V),Iteration,device-id
125,15,4.805359061950684,SET,2.20,3.50,0.00,4,125-15
125,15,4.812683280700685,SET,1.80,3.00,0.00,3,125-15
125,15,5.156006034606934,SET,0.00,0.00,0.00,0,125-15
125,15,5.170959647888185,SET,0.00,0.00,0.00,0,125-15
125,15,5.212158378356934,SET_FAILED,1.60,3.50,0.00,5,125-15
125,15,5.188965018981934,SET,1.90,3.00,0.00,1,125-15
125,15,5.138611015075684,SET,1.70,4.50,0.00,1,125-15
125,15,3.775085624450684,SET_FAILED,4.50,1.00,1.00,5,125-15
125,15,5.068420585388185,SET,2.30,3.00,0.00,1,125-15
